,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29
305,?,7,0,?,7,0,0,8,2,4,1,6,1,4,6,6,8,0,?,0,8,0,7,1,0,0,8,5,1,8
306,0,2,6,0,0,?,0,3,4,0,5,?,6,4,1,7,2,6,?,1,0,0,0,6,8,1,7,5,1,?
307,0,?,6,?,0,2,0,?,4,0,5,4,6,1,1,7,?,6,6,3,0,0,8,0,6,1,?,3,1,4
308,0,7,5,0,0,0,0,8,2,4,2,8,3,0,8,5,8,0,1,0,8,2,6,1,0,0,8,5,1,0
309,0,7,5,0,?,0,0,8,2,4,2,6,7,0,8,5,8,8,1,0,2,2,6,1,?,?,8,5,1,0
310,0,2,3,0,3,2,6,3,4,0,7,0,0,0,1,7,1,6,?,3,3,0,6,8,0,?,7,?,1,4
311,0,2,6,0,8,2,6,3,4,?,7,0,0,2,4,7,1,6,0,3,6,0,6,8,0,1,7,5,2,?
312,0,7,0,?,2,8,1,8,2,4,1,?,?,5,6,?,4,1,1,0,8,3,7,1,0,0,8,5,1,0
313,0,7,8,6,2,1,1,8,2,?,8,6,1,5,6,6,4,1,1,8,8,0,?,1,0,0,8,5,1,6
314,5,7,0,1,0,3,6,8,2,?,1,7,1,0,6,6,7,4,1,5,8,0,7,1,?,1,8,5,1,4
315,5,7,0,1,0,8,0,5,2,4,1,7,1,0,6,6,7,4,1,5,8,0,7,1,?,1,8,5,1,4
316,0,2,6,0,0,2,7,3,4,0,0,0,0,0,1,7,1,6,6,3,3,0,5,0,0,1,7,5,1,?
317,0,2,6,0,0,0,6,3,6,0,0,0,0,?,1,7,1,6,6,3,3,0,0,0,0,1,5,5,1,4
318,0,7,0,6,2,8,1,8,2,4,1,6,1,5,6,6,4,1,1,0,8,?,7,1,6,0,8,5,1,0
319,0,7,0,6,1,8,?,8,2,4,0,6,1,5,6,?,4,1,1,0,8,0,7,1,3,0,?,5,?,0
320,0,2,6,0,0,2,0,7,4,0,?,4,6,1,1,7,1,6,0,3,0,0,1,0,8,1,4,5,1,4
321,?,2,6,0,0,2,0,1,4,0,5,2,6,1,1,7,1,6,4,1,0,0,8,6,8,1,7,?,1,4
322,5,7,0,1,0,7,7,8,2,4,1,8,?,0,6,6,0,1,1,5,8,8,7,1,0,1,?,5,1,4
323,5,7,0,1,?,?,7,8,2,4,1,?,1,0,0,6,0,?,1,?,8,0,2,1,0,1,8,5,1,4
324,0,2,6,0,0,2,6,3,4,0,0,1,6,0,1,7,?,?,?,3,3,0,1,2,0,1,7,7,1,4
325,0,2,6,0,0,2,6,3,4,0,0,1,4,0,?,?,1,?,4,3,3,0,1,2,0,1,8,5,1,4
326,?,7,7,4,5,0,?,8,2,4,2,0,7,5,?,7,0,0,1,0,?,?,7,1,1,0,8,5,1,4
327,0,7,0,0,5,0,?,8,2,4,0,0,3,5,0,7,?,7,1,?,8,7,?,1,0,0,8,5,1,4
328,6,8,6,0,0,0,6,8,?,4,1,3,5,0,6,6,0,7,1,0,8,8,7,1,1,6,8,?,1,0
329,6,?,0,0,0,0,6,8,?,4,1,3,?,1,0,6,0,7,1,0,?,2,?,1,1,6,8,5,?,2
330,0,7,1,1,1,4,?,8,2,4,1,0,1,0,6,6,?,0,1,5,8,?,7,1,3,1,8,5,1,?
331,5,7,?,?,0,?,0,2,2,4,6,0,1,0,6,6,0,0,1,?,8,0,7,1,3,1,7,3,1,?
332,0,7,8,1,0,0,0,3,2,4,1,6,1,7,6,6,0,4,5,0,8,?,7,1,0,0,8,5,?,0
333,0,7,?,1,0,0,0,8,2,4,7,0,1,4,6,5,0,1,?,8,?,8,2,1,6,?,8,5,1,0
334,6,7,5,0,0,0,0,?,2,4,5,8,?,8,8,5,7,0,6,0,8,2,?,1,1,?,8,5,1,6
335,6,?,5,0,0,0,0,8,2,4,?,8,0,7,8,5,7,0,1,?,8,2,6,1,0,?,4,5,?,?
336,5,7,8,?,0,7,7,8,2,4,1,8,1,7,6,?,0,1,1,5,8,0,7,1,6,1,8,5,5,?
337,4,7,8,1,0,7,7,5,3,8,1,1,1,3,6,6,0,1,1,5,8,0,?,1,6,1,8,5,1,4
338,5,7,0,?,0,6,0,8,2,7,4,?,1,4,?,6,0,3,1,5,4,0,8,1,?,1,?,5,1,4
339,5,7,0,3,0,8,0,8,2,4,1,0,1,0,6,0,0,0,?,5,8,0,7,1,0,1,8,5,1,3
