k rep nodeID nodeDepth brlen
10 rep001 n203 9 0.05268025782891314
10 rep001 n204 9 0.05268025782891314
10 rep001 n205 9 0.05268025782891314
10 rep001 n206 9 0.05268025782891314
10 rep001 n207 8 4.605170185988091
10 rep001 n208 8 0.05268025782891314
10 rep001 n209 9 0.05268025782891314
10 rep001 n21 9 0.05268025782891314
10 rep001 n210 9 0.05268025782891314
10 rep001 n211 9 0.05268025782891314
10 rep001 n212 9 0.05268025782891314
10 rep001 n213 7 0.05268025782891314
10 rep001 n214 7 0.05268025782891314
10 rep001 n215 8 0.05268025782891314
10 rep001 n216 8 0.05268025782891314
10 rep001 n217 9 4.605170185988091
10 rep001 n218 9 0.05268025782891314
10 rep001 n219 9 0.05268025782891314
10 rep001 n22 9 0.05268025782891314
10 rep001 n220 9 0.6931471805599453
10 rep001 n221 8 0.05268025782891314
10 rep001 n222 8 0.05268025782891314
10 rep001 n223 9 0.05268025782891314
10 rep001 n224 9 0.05268025782891314
10 rep001 n225 9 0.05268025782891314
10 rep001 n226 9 0.6931471805599453
10 rep001 n227 6 0.05268025782891314
10 rep001 n228 6 0.05268025782891314
10 rep001 n229 7 0.05268025782891314
10 rep001 n23 9 0.05268025782891314
10 rep001 n230 7 0.05268025782891314
10 rep001 n231 8 0.05268025782891314
10 rep001 n232 8 0.6931471805599453
10 rep001 n233 9 0.05268025782891314
10 rep001 n234 9 4.605170185988091
10 rep001 n235 9 0.05268025782891314
10 rep001 n236 9 0.05268025782891314
10 rep001 n237 8 0.05268025782891314
10 rep001 n238 8 0.6931471805599453
10 rep001 n239 9 0.05268025782891314
10 rep001 n24 9 0.05268025782891314
10 rep001 n240 9 0.05268025782891314
10 rep001 n241 9 0.05268025782891314
10 rep001 n242 9 0.05268025782891314
10 rep001 n243 7 0.6931471805599453
10 rep001 n244 7 0.6931471805599453
10 rep001 n245 8 0.05268025782891314
10 rep001 n246 8 0.05268025782891314
10 rep001 n247 9 0.05268025782891314
10 rep001 n248 9 4.605170185988091
10 rep001 n249 9 0.05268025782891314
10 rep001 n25 7 0.05268025782891314
10 rep001 n250 9 0.05268025782891314
10 rep001 n251 8 4.605170185988091
10 rep001 n252 8 0.05268025782891314
10 rep001 n253 9 0.05268025782891314
10 rep001 n254 9 0.05268025782891314
10 rep001 n255 9 0.05268025782891314
10 rep001 n256 9 0.05268025782891314
10 rep001 n257 3 0.2876820724517809
10 rep001 n258 3 0.13353139262452263
10 rep001 n259 4 0.15415067982725836
10 rep001 n26 7 0.40546510810816444
10 rep001 n260 4 0.15415067982725836
10 rep001 n261 5 0.1823215567939546
10 rep001 n262 5 0.1823215567939546
10 rep001 n263 6 0.05268025782891314
10 rep001 n264 6 0.05268025782891314
10 rep001 n265 7 0.5108256237659907
10 rep001 n266 7 0.2231435513142097
10 rep001 n267 8 0.05268025782891314
10 rep001 n268 8 0.2876820724517809
10 rep001 n269 9 1.09861228866811
10 rep001 n27 8 0.05268025782891314
10 rep001 n270 9 0.05268025782891314
10 rep001 n271 9 0.05268025782891314
10 rep001 n272 9 0.2876820724517809
10 rep001 n273 8 0.05268025782891314
10 rep001 n274 8 0.40546510810816444
10 rep001 n275 9 0.05268025782891314
10 rep001 n276 9 0.05268025782891314
10 rep001 n277 9 0.40546510810816444
10 rep001 n278 9 0.05268025782891314
10 rep001 n279 7 0.05268025782891314
10 rep001 n28 8 0.05268025782891314
10 rep001 n280 7 0.05268025782891314
10 rep001 n281 8 0.2231435513142097
