cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n85,4,7,3,1,6,4,6,9,5,6,6,2,1,8,1,3,8,1,9,0,2,6,7,1,6,3,4,6,7,2,4,0,5,0,2,7,1,5,0,9,7,7,1,4,1,7,8,3,7,3,7,7,1,1,1,10,2,1,3,1,1,1,1,0,5,2,1,8,7,8
n92,3,7,3,1,6,4,6,0,5,10,6,10,1,8,1,0,8,0,9,2,2,6,7,1,6,3,4,6,7,9,4,1,5,0,0,7,0,5,5,9,7,0,9,4,1,7,8,3,7,0,7,7,1,0,1,10,2,0,6,1,1,1,1,7,5,2,1,0,7,8
n91,3,7,3,1,6,4,6,0,5,10,6,10,1,8,1,0,8,0,9,2,2,6,7,1,6,3,4,6,7,9,4,1,5,0,0,7,0,5,5,9,7,0,9,4,1,7,8,3,7,0,7,7,1,0,1,10,2,0,6,1,1,1,1,7,5,2,1,5,7,8
n94,3,7,3,1,6,4,6,10,5,10,6,10,1,8,1,10,8,0,9,2,2,6,7,1,6,3,4,6,7,0,4,1,5,9,0,7,3,5,5,9,7,2,0,4,1,7,8,3,7,0,7,7,1,0,1,10,2,2,6,1,1,1,1,7,5,2,1,10,7,8
n93,3,7,3,1,6,4,6,10,5,10,6,10,1,8,1,0,8,7,9,2,2,6,7,1,6,3,4,6,7,0,4,1,5,9,0,7,0,5,5,9,7,0,0,4,1,7,8,3,7,0,7,7,1,0,1,10,2,10,6,1,1,1,1,7,5,2,1,10,7,8
n98,1,7,3,1,6,4,6,2,5,10,6,10,1,8,1,8,8,9,9,2,2,6,7,1,6,3,4,6,7,0,4,1,5,2,0,7,8,5,6,9,7,1,6,4,1,7,8,3,7,0,7,7,1,0,1,10,2,0,6,1,1,1,1,7,5,2,1,0,7,8
n97,1,7,3,1,6,4,6,2,5,10,6,10,1,8,1,2,8,9,9,2,2,6,7,1,6,3,4,6,7,0,4,1,5,2,0,7,8,5,6,9,7,0,6,4,1,7,8,3,7,0,7,7,1,0,1,10,2,0,6,1,1,1,1,7,5,2,1,0,7,8
n100,4,7,3,1,6,4,6,6,5,10,6,10,1,8,1,0,8,9,9,2,2,6,7,1,6,3,4,6,7,1,4,1,5,8,0,7,8,5,1,9,7,0,5,4,1,7,8,3,7,7,7,7,1,0,1,10,2,0,8,1,1,1,1,7,5,2,1,1,7,8
n99,4,7,3,1,6,4,6,6,5,10,6,10,1,8,1,10,8,9,9,2,2,6,7,1,6,3,4,6,7,0,4,1,5,8,0,7,8,5,1,9,7,2,0,4,1,7,8,3,7,0,7,7,1,0,1,10,2,5,8,1,1,1,1,7,5,2,1,1,7,8
n108,8,0,0,0,6,4,6,9,5,0,6,2,1,8,1,6,8,0,9,7,2,6,7,1,6,3,4,6,7,7,4,5,5,0,6,7,0,5,8,9,7,5,0,4,1,9,8,3,7,5,7,7,1,0,1,10,2,0,5,1,1,1,1,0,5,2,1,6,7,8
