cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90
n109,1,1,0,0,9,1,9,5,0,5,5,3,2,9,3,0,9,4,3,8,3,4,0,6,0,4,3,7,6,5,6,8,7,1,8,2,9,10,5,0,5,6,4,9,6,6,6,4,5,8,10,8,5,0,4,2,6,6,7,10,9,1,10,5,8,10,2,10,4,0,0,1,0,0,4,4,1,1,10,10,6,10,4,1,2,5,6,5,8,1
n114,1,0,0,4,0,1,9,5,0,5,5,3,2,9,3,0,9,4,3,8,3,4,8,6,10,4,3,7,6,5,6,8,7,1,8,2,9,10,5,9,5,6,4,0,6,6,6,4,5,8,10,8,5,1,4,2,0,6,7,10,9,1,0,5,8,10,2,10,4,5,0,1,0,0,4,4,1,1,10,10,6,10,4,1,2,0,6,5,8,1
n113,1,0,4,0,5,1,9,5,0,5,5,3,2,9,3,0,9,4,3,8,3,4,0,6,10,4,3,7,6,5,6,8,7,1,8,2,9,10,5,0,5,6,4,0,6,6,6,4,5,0,10,8,5,1,4,2,5,6,7,10,9,1,0,5,8,10,2,10,4,5,7,1,0,0,4,4,1,1,10,10,6,10,4,1,2,0,6,5,8,1
n116,1,0,0,0,0,1,9,5,0,5,5,3,2,9,3,0,9,4,3,8,3,4,7,6,10,4,3,7,6,5,6,8,7,1,8,2,9,10,5,10,5,6,4,10,6,6,6,4,5,0,10,8,5,1,4,2,0,6,7,10,9,1,0,5,8,10,2,10,4,5,0,1,5,0,4,4,1,1,10,10,6,10,4,1,2,0,6,5,8,1
n115,1,0,0,10,0,1,9,5,0,5,5,3,2,9,3,0,9,4,3,8,3,4,0,6,10,4,3,7,6,5,6,8,7,1,8,2,9,10,5,10,5,6,4,10,6,6,6,4,5,0,10,8,5,1,4,2,0,6,7,10,9,1,0,5,8,10,2,10,4,5,0,1,0,5,4,4,1,1,10,10,6,10,4,1,2,0,6,5,8,1
n122,1,2,4,0,0,1,9,5,6,5,5,7,2,9,3,3,9,4,3,8,3,4,6,6,0,4,3,7,6,5,6,8,7,1,8,2,9,10,5,0,5,6,4,0,6,6,6,4,5,0,10,8,5,0,4,2,2,6,0,10,9,1,6,5,8,10,7,10,2,0,0,1,0,2,4,4,3,1,10,10,6,10,4,1,2,8,6,5,0,1
n121,1,0,0,0,7,1,9,5,6,5,5,7,2,9,3,0,9,4,3,8,3,4,6,6,0,4,3,7,6,5,6,8,7,1,8,2,9,10,5,0,5,6,4,0,6,6,6,4,5,0,10,8,5,9,4,2,2,6,0,10,9,1,6,5,8,10,7,10,2,4,0,1,0,2,4,4,3,1,10,10,6,10,4,1,2,0,6,5,0,1
n124,1,0,2,0,6,1,9,5,6,5,5,7,2,9,3,0,9,4,3,8,3,4,0,6,0,4,3,7,6,5,6,8,7,1,8,2,9,10,5,8,5,6,4,0,6,6,6,4,5,2,10,8,5,0,4,2,2,6,10,10,9,1,6,5,8,10,7,10,0,0,0,1,0,2,4,4,0,1,10,10,6,10,4,1,2,3,6,5,3,1
n123,1,0,0,0,6,1,9,5,6,5,5,7,2,9,3,0,9,4,3,8,3,4,9,6,0,4,3,7,6,5,6,8,7,1,8,2,9,10,5,8,5,6,4,1,6,6,6,4,5,0,10,8,5,0,4,2,2,6,10,10,9,1,6,5,8,10,7,10,5,1,0,1,0,2,4,4,0,1,10,10,6,10,4,1,2,3,6,5,5,1
n128,1,10,0,9,8,1,9,5,6,5,5,7,2,9,3,0,9,4,3,8,3,4,0,6,0,4,3,7,6,5,6,8,7,1,8,2,9,10,5,5,5,6,4,0,6,6,6,4,5,1,10,8,5,2,4,2,2,6,0,10,9,1,6,5,8,10,7,10,6,7,0,1,0,0,4,4,0,1,10,10,6,10,4,1,2,1,6,5,0,1
